symbol	ensembl_id	name
HNRNPCL4	ENSG00000282095	heterogeneous nuclear ribonucleoprotein C like 4 [Source:HGNC Symbol;Acc:HGNC:51333]
PRAMEF9	ENSG00000282298	PRAME family member 9 [Source:HGNC Symbol;Acc:HGNC:27996]
PRAMEF13	ENSG00000282741	PRAME family member 13 [Source:HGNC Symbol;Acc:HGNC:13262]
PRAMEF18	ENSG00000282212	PRAME family member 18 [Source:HGNC Symbol;Acc:HGNC:30693]
PRAMEF31P	ENSG00000282289	PRAME family member 31, pseudogene [Source:HGNC Symbol;Acc:HGNC:51893]
PRAMEF5	ENSG00000282424	PRAME family member 5 [Source:HGNC Symbol;Acc:HGNC:27995]
PRAMEF32P	ENSG00000282216	PRAME family member 32, pseudogene [Source:HGNC Symbol;Acc:HGNC:51894]
RNU6-771P	ENSG00000282288	RNA, U6 small nuclear 771, pseudogene [Source:HGNC Symbol;Acc:HGNC:47734]
PRAMEF8	ENSG00000282583	PRAME family member 8 [Source:HGNC Symbol;Acc:HGNC:24074]
PRAMEF33	ENSG00000282125	PRAME family member 33 [Source:HGNC Symbol;Acc:HGNC:49193]
PRAMEF22	ENSG00000293551	PRAME family member 22 [Source:HGNC Symbol;Acc:HGNC:34393]
CNTNAP3C	ENSG00000291365	contactin associated protein family member 3C [Source:HGNC Symbol;Acc:HGNC:53878]
RN7SL462P	ENSG00000291366	RNA, 7SL, cytoplasmic 462, pseudogene [Source:HGNC Symbol;Acc:HGNC:46478]
OR9G1	ENSG00000261958	olfactory receptor family 9 subfamily G member 1 [Source:HGNC Symbol;Acc:HGNC:15319]
OR9G9	ENSG00000262191	olfactory receptor family 9 subfamily G member 9 [Source:HGNC Symbol;Acc:HGNC:31940]
OR9G3P	ENSG00000262268	olfactory receptor family 9 subfamily G member 3 pseudogene [Source:HGNC Symbol;Acc:HGNC:15321]
OR9G4	ENSG00000262647	olfactory receptor family 9 subfamily G member 4 [Source:HGNC Symbol;Acc:HGNC:15322]
OR9G2P	ENSG00000281777	olfactory receptor family 9 subfamily G member 2 pseudogene [Source:HGNC Symbol;Acc:HGNC:15320]
OR5G1P	ENSG00000281313	olfactory receptor family 5 subfamily G member 1 pseudogene [Source:HGNC Symbol;Acc:HGNC:8344]
BCL2L14	ENSG00000281449	BCL2 like 14 [Source:HGNC Symbol;Acc:HGNC:16657]
OR5G4P	ENSG00000281279	olfactory receptor family 5 subfamily G member 4 pseudogene [Source:HGNC Symbol;Acc:HGNC:15288]
OR5G5P	ENSG00000262535	olfactory receptor family 5 subfamily G member 5 pseudogene [Source:HGNC Symbol;Acc:HGNC:15289]
OR5G3	ENSG00000281107	olfactory receptor family 5 subfamily G member 3 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:15287]
LINC02735	ENSG00000281839	long intergenic non-protein coding RNA 2735 [Source:HGNC Symbol;Acc:HGNC:54252]
PTMAP9	ENSG00000281442	prothymosin alpha pseudogene 9 [Source:HGNC Symbol;Acc:HGNC:34054]
MIR1244-4	ENSG00000283344	microRNA 1244-4 [Source:HGNC Symbol;Acc:HGNC:50831]
LRP6	ENSG00000281324	LDL receptor related protein 6 [Source:HGNC Symbol;Acc:HGNC:6698]
SYT15B	ENSG00000288175	synaptotagmin 15B [Source:HGNC Symbol;Acc:HGNC:51487]
NPY4R2	ENSG00000288157	neuropeptide Y receptor Y4-2 [Source:HGNC Symbol;Acc:HGNC:52383]
FAM25C	ENSG00000288481	family with sequence similarity 25 member C [Source:HGNC Symbol;Acc:HGNC:23586]
AGAP12P	ENSG00000288424	ArfGAP with GTPase domain, ankyrin repeat and PH domain 12, pseudogene [Source:HGNC Symbol;Acc:HGNC:23661]
RNA5SP315	ENSG00000288201	RNA, 5S ribosomal pseudogene 315 [Source:HGNC Symbol;Acc:HGNC:43215]
BMS1P7	ENSG00000288196	BMS1 pseudogene 7 [Source:HGNC Symbol;Acc:HGNC:23655]
TOLLIP	ENSG00000291426	toll interacting protein [Source:HGNC Symbol;Acc:HGNC:16476]
TOLLIP-DT	ENSG00000291427	TOLLIP divergent transcript [Source:HGNC Symbol;Acc:HGNC:27403]
LINC02689	ENSG00000291430	long intergenic non-protein coding RNA 2689 [Source:HGNC Symbol;Acc:HGNC:54192]
BRSK2	ENSG00000291428	BR serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:11405]
RPL21P100	ENSG00000280475	ribosomal protein L21 pseudogene 100 [Source:HGNC Symbol;Acc:HGNC:36048]
RNU6-545P	ENSG00000206783	RNA, U6 small nuclear 545, pseudogene [Source:HGNC Symbol;Acc:HGNC:47508]
RNU6-318P	ENSG00000207477	RNA, U6 small nuclear 318, pseudogene [Source:HGNC Symbol;Acc:HGNC:47281]
MANSC1	ENSG00000281818	MANSC domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25505]
DUSP8	ENSG00000291431	dual specificity phosphatase 8 [Source:HGNC Symbol;Acc:HGNC:3074]
KRTAP5-AS1	ENSG00000291432	KRTAP5-1/KRTAP5-2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:27877]
RPL23AP66	ENSG00000281051	ribosomal protein L23a pseudogene 66 [Source:HGNC Symbol;Acc:HGNC:35940]
KRTAP5-1	ENSG00000291433	keratin associated protein 5-1 [Source:HGNC Symbol;Acc:HGNC:23596]
LOH12CR2	ENSG00000281234	loss of heterozygosity on chromosome 12, region 2 [Source:HGNC Symbol;Acc:HGNC:26524]
KRTAP5-2	ENSG00000291434	keratin associated protein 5-2 [Source:HGNC Symbol;Acc:HGNC:23597]
KRTAP5-3	ENSG00000291435	keratin associated protein 5-3 [Source:HGNC Symbol;Acc:HGNC:23598]
KRTAP5-4	ENSG00000291440	keratin associated protein 5-4 [Source:HGNC Symbol;Acc:HGNC:23599]
KRTAP5-5	ENSG00000291443	keratin associated protein 5-5 [Source:HGNC Symbol;Acc:HGNC:23601]
BORCS5	ENSG00000280689	BLOC-1 related complex subunit 5 [Source:HGNC Symbol;Acc:HGNC:17950]
FAM99A	ENSG00000291437	family with sequence similarity 99 member A [Source:HGNC Symbol;Acc:HGNC:32368]
FAM99B	ENSG00000291438	family with sequence similarity 99 member B [Source:HGNC Symbol;Acc:HGNC:32369]
LINC02708	ENSG00000291439	long intergenic non-protein coding RNA 2708 [Source:HGNC Symbol;Acc:HGNC:54225]
MOB2	ENSG00000291442	MOB kinase activator 2 [Source:HGNC Symbol;Acc:HGNC:24904]
DUSP16	ENSG00000280962	dual specificity phosphatase 16 [Source:HGNC Symbol;Acc:HGNC:17909]
HMX1	ENSG00000288204	H6 family homeobox 1 [Source:HGNC Symbol;Acc:HGNC:5017]
RBMY3AP	ENSG00000291444	RNA binding motif protein Y-linked family 3 member A, pseudogene [Source:HGNC Symbol;Acc:HGNC:23286]
CDY3P	ENSG00000291445	chromodomain Y-linked 3 pseudogene [Source:HGNC Symbol;Acc:HGNC:23849]
TSPY25P	ENSG00000291446	testis specific protein Y-linked 25, pseudogene [Source:HGNC Symbol;Acc:HGNC:38726]
USP9YP22	ENSG00000291447	USP9Y pseudogene 22 [Source:HGNC Symbol;Acc:HGNC:38758]
TSPY16P	ENSG00000291448	testis specific protein Y-linked 16, pseudogene [Source:HGNC Symbol;Acc:HGNC:37712]
USP9YP4	ENSG00000291449	USP9Y pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:37740]
ELOCP4	ENSG00000291450	elongin C pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:38141]
RBMY1A3P	ENSG00000291451	RNA binding motif protein Y-linked family 1 member A3, pseudogene [Source:HGNC Symbol;Acc:HGNC:18849]
LINC03015	ENSG00000288472	long intergenic non-protein coding RNA 3015 [Source:HGNC Symbol;Acc:HGNC:56143]
TTTY20	ENSG00000291453	testis expressed transcript, Y-linked 20 [Source:HGNC Symbol;Acc:HGNC:18844]
TSPY8	ENSG00000291455	testis specific protein Y-linked 8 [Source:HGNC Symbol;Acc:HGNC:37471]
FAM197Y7	ENSG00000291456	family with sequence similarity 197 Y-linked member 7 [Source:HGNC Symbol;Acc:HGNC:37469]
TSPY4	ENSG00000291458	testis specific protein Y-linked 4 [Source:HGNC Symbol;Acc:HGNC:37287]
TSPY9	ENSG00000291459	testis specific protein Y-linked 9 [Source:HGNC Symbol;Acc:HGNC:37472]
FAM197Y2	ENSG00000291460	family with sequence similarity 197 Y-linked member 2 [Source:HGNC Symbol;Acc:HGNC:18848]
FAM197Y4	ENSG00000291461	family with sequence similarity 197 Y-linked member 4 [Source:HGNC Symbol;Acc:HGNC:37466]
FAM197Y8	ENSG00000291454	family with sequence similarity 197 Y-linked member 8 [Source:HGNC Symbol;Acc:HGNC:37470]
LINC03014	ENSG00000288417	long intergenic non-protein coding RNA 3014 [Source:HGNC Symbol;Acc:HGNC:56142]
FAM20C	ENSG00000288499	FAM20C golgi associated secretory pathway kinase [Source:HGNC Symbol;Acc:HGNC:22140]
SERTAD4-AS1	ENSG00000280963	SERTAD4 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:32019]
SERTAD4	ENSG00000281230	SERTA domain containing 4 [Source:HGNC Symbol;Acc:HGNC:25236]
OR4C12	ENSG00000284255	olfactory receptor family 4 subfamily C member 12 [Source:HGNC Symbol;Acc:HGNC:15168]
OR4C48P	ENSG00000284278	olfactory receptor family 4 subfamily C member 48 pseudogene [Source:HGNC Symbol;Acc:HGNC:31272]
ST13P19	ENSG00000281067	ST13, Hsp70 interacting protein pseudogene 19 [Source:HGNC Symbol;Acc:HGNC:38862]
OR4C49P	ENSG00000284123	olfactory receptor family 4 subfamily C member 49 pseudogene [Source:HGNC Symbol;Acc:HGNC:31273]
OR4C45	ENSG00000292249	olfactory receptor family 4 subfamily C member 45 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:31270]
HHAT	ENSG00000280680	hedgehog acyltransferase [Source:HGNC Symbol;Acc:HGNC:18270]
GRK1	ENSG00000288263	G protein-coupled receptor kinase 1 [Source:HGNC Symbol;Acc:HGNC:10013]
LINC00552	ENSG00000288305	long intergenic non-protein coding RNA 552 [Source:HGNC Symbol;Acc:HGNC:43692]
RNU5A-8P	ENSG00000281499	RNA, U5A small nuclear 8, pseudogene [Source:HGNC Symbol;Acc:HGNC:42530]
BPNT2P1	ENSG00000280937	BPNT2 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:54752]
ARHGEF19	ENSG00000291381	Rho guanine nucleotide exchange factor 19 [Source:HGNC Symbol;Acc:HGNC:26604]
ANO7L1	ENSG00000291404	anoctamin 7 like 1 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:32248]
CPLANE2	ENSG00000291382	ciliogenesis and planar polarity effector complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:28127]
MT1XP1	ENSG00000291377	metallothionein 1X pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:7442]
FBXO42	ENSG00000291375	F-box protein 42 [Source:HGNC Symbol;Acc:HGNC:29249]
SZRD1	ENSG00000291379	SUZ RNA binding domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30232]
RPL22P3	ENSG00000291374	ribosomal protein L22 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:36804]
SPATA21	ENSG00000291401	spermatogenesis associated 21 [Source:HGNC Symbol;Acc:HGNC:28026]
NECAP2	ENSG00000291380	NECAP endocytosis associated 2 [Source:HGNC Symbol;Acc:HGNC:25528]
LINC01772	ENSG00000291388	long intergenic non-protein coding RNA 1772 [Source:HGNC Symbol;Acc:HGNC:52562]
CROCCP3	ENSG00000291402	CROCC pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:29405]
RNU1-1	ENSG00000291389	RNA, U1 small nuclear 1 [Source:HGNC Symbol;Acc:HGNC:10120]
LINC01783	ENSG00000291392	long intergenic non-protein coding RNA 1783 [Source:HGNC Symbol;Acc:HGNC:52573]
RNU1-6P	ENSG00000291393	RNA, U1 small nuclear 6, pseudogene [Source:HGNC Symbol;Acc:HGNC:48305]
PDE4DIPP8	ENSG00000291394	PDE4DIP pseudogene 8 [Source:HGNC Symbol;Acc:HGNC:55099]
RNU1-2	ENSG00000291385	RNA, U1 small nuclear 2 [Source:HGNC Symbol;Acc:HGNC:10123]
LINC03126	ENSG00000291400	long intergenic non-protein coding RNA 3126 [Source:HGNC Symbol;Acc:HGNC:57013]
RNU1-5P	ENSG00000291383	RNA, U1 small nuclear 5, pseudogene [Source:HGNC Symbol;Acc:HGNC:48304]
ELOCP5	ENSG00000285019	elongin C pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:38140]
CDY10P	ENSG00000285196	chromodomain Y-linked 10 pseudogene [Source:HGNC Symbol;Acc:HGNC:23848]
EIF1AXP1	ENSG00000291398	EIF1AX pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:19900]
RNU1-3	ENSG00000291396	RNA, U1 small nuclear 3 [Source:HGNC Symbol;Acc:HGNC:10130]
RNU1-4	ENSG00000291399	RNA, U1 small nuclear 4 [Source:HGNC Symbol;Acc:HGNC:10128]
PADI2	ENSG00000291387	peptidyl arginine deiminase 2 [Source:HGNC Symbol;Acc:HGNC:18341]
USP9YP3	ENSG00000285308	USP9Y pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:37739]
USP9YP8	ENSG00000285028	USP9Y pseudogene 8 [Source:HGNC Symbol;Acc:HGNC:38424]
CROCCP4	ENSG00000291403	CROCC pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:43864]
CDY11P	ENSG00000285455	chromodomain Y-linked 11 pseudogene [Source:HGNC Symbol;Acc:HGNC:23852]
OFD1P16Y	ENSG00000285477	OFD1 pseudogene 16 Y-linked [Source:HGNC Symbol;Acc:HGNC:18213]
LINC01300	ENSG00000291463	long intergenic non-protein coding RNA 1300 [Source:HGNC Symbol;Acc:HGNC:50460]
GPR20	ENSG00000291465	G protein-coupled receptor 20 [Source:HGNC Symbol;Acc:HGNC:4475]
ASTILCS	ENSG00000291466	antisense transcript of PTP4A3, liver carcinoma survival associated [Source:HGNC Symbol;Acc:HGNC:56718]
PTP4A3	ENSG00000291470	protein tyrosine phosphatase 4A3 [Source:HGNC Symbol;Acc:HGNC:9636]
HNRNPA1P38	ENSG00000291469	heterogeneous nuclear ribonucleoprotein A1pseudogene 38 [Source:HGNC Symbol;Acc:HGNC:48767]
C8orf90	ENSG00000291474	chromosome 8 open reading frame 90 [Source:HGNC Symbol;Acc:HGNC:56305]
MROH5	ENSG00000291473	maestro heat like repeat family member 5 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:42976]
NBPF1	ENSG00000292225	NBPF member 1 [Source:HGNC Symbol;Acc:HGNC:26088]
RPL14P5	ENSG00000292328	ribosomal protein L14 pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:37720]
DHRSX-IT1	ENSG00000292337	DHRSX intronic transcript 1 [Source:HGNC Symbol;Acc:HGNC:38713]
DHRSX	ENSG00000292338	dehydrogenase/reductase X-linked [Source:HGNC Symbol;Acc:HGNC:18399]
RNU6-1004P	ENSG00000285481	RNA, U6 small nuclear 1004, pseudogene [Source:HGNC Symbol;Acc:HGNC:47967]
ORAI1	ENSG00000293604	ORAI calcium release-activated calcium modulator 1 [Source:HGNC Symbol;Acc:HGNC:25896]
LINC00685	ENSG00000292342	long intergenic non-protein coding RNA 685 [Source:HGNC Symbol;Acc:HGNC:27560]
MIR6089	ENSG00000292346	microRNA 6089 [Source:HGNC Symbol;Acc:HGNC:50179]
LINC00102	ENSG00000292347	long intergenic non-protein coding RNA 102 [Source:HGNC Symbol;Acc:HGNC:30470]
Metazoa_SRP	ENSG00000292350	Metazoan signal recognition particle RNA [Source:RFAM;Acc:RF00017]
FABP5P13	ENSG00000292352	fatty acid binding protein 5 pseudogene 13 [Source:HGNC Symbol;Acc:HGNC:38717]
KRT18P53	ENSG00000292353	keratin 18 pseudogene 53 [Source:HGNC Symbol;Acc:HGNC:38714]
SHOX	ENSG00000292354	SHOX homeobox [Source:HGNC Symbol;Acc:HGNC:10853]
MIR3690	ENSG00000292355	microRNA 3690 [Source:HGNC Symbol;Acc:HGNC:38967]
RNA5SP498	ENSG00000292356	RNA, 5S ribosomal pseudogene 498 [Source:HGNC Symbol;Acc:HGNC:43398]
CD99P1	ENSG00000292361	CD99 molecule pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:7083]
CRLF2	ENSG00000292363	cytokine receptor like factor 2 [Source:HGNC Symbol;Acc:HGNC:14281]
ASMT	ENSG00000292336	acetylserotonin O-methyltransferase [Source:HGNC Symbol;Acc:HGNC:750]
ASMTL-AS1	ENSG00000292331	ASMTL antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:25811]
MIR4740	ENSG00000291414	microRNA 4740 [Source:HGNC Symbol;Acc:HGNC:41711]
MIR3186	ENSG00000291415	microRNA 3186 [Source:HGNC Symbol;Acc:HGNC:38311]
LINC01971	ENSG00000291417	long intergenic non-protein coding RNA 1971 [Source:HGNC Symbol;Acc:HGNC:52797]
ACTG1	ENSG00000291420	actin gamma 1 [Source:HGNC Symbol;Acc:HGNC:144]
LINC00106	ENSG00000292341	long intergenic non-protein coding RNA 106 [Source:HGNC Symbol;Acc:HGNC:31843]
LINC02968	ENSG00000310540	long intergenic non-protein coding RNA 2968 [Source:HGNC Symbol;Acc:HGNC:56008]
BAHCC1	ENSG00000291421	BAH domain and coiled-coil containing 1 [Source:HGNC Symbol;Acc:HGNC:29279]
LINC03048	ENSG00000291425	long intergenic non-protein coding RNA 3048 [Source:HGNC Symbol;Acc:HGNC:56272]
LINC03112	ENSG00000292360	long intergenic non-protein coding RNA 3112 [Source:HGNC Symbol;Acc:HGNC:56853]
ZBED1	ENSG00000292345	zinc finger BED-type containing 1 [Source:HGNC Symbol;Acc:HGNC:447]
PPP2R3B	ENSG00000292327	protein phosphatase 2 regulatory subunit B''beta [Source:HGNC Symbol;Acc:HGNC:13417]
